date	souches	varietes	cellules	resultats
04/04/2018	Strain1	Variety1	C8	13
04/04/2018	Strain1	Variety1	C8	9,5
04/04/2018	Strain1	Variety1	C8	22
04/04/2018	Strain1	Variety1	C8	10
04/04/2018	Strain1	Variety1	C8	13
04/04/2018	Strain1	Variety2	C8	13,5
04/04/2018	Strain1	Variety2	C8	14
04/04/2018	Strain1	Variety2	C8	10
04/04/2018	Strain1	Variety2	C8	11
04/04/2018	Strain1	Variety2	C8	10
04/04/2018	Strain1	Variety2	C8	18
04/04/2018	Strain1	Variety2	C8	12,5
04/04/2018	Strain1	Variety2	C8	13
04/04/2018	Strain1	Variety2	C8	7
04/04/2018	Strain1	Variety1	C7	10
04/04/2018	Strain1	Variety1	C7	13,5
04/04/2018	Strain1	Variety1	C7	12,5
04/04/2018	Strain1	Variety1	C7	11
04/04/2018	Strain1	Variety1	C7	13
04/04/2018	Strain1	Variety1	C7	11
04/04/2018	Strain1	Variety1	C7	10
04/04/2018	Strain1	Variety2	C7	9
04/04/2018	Strain1	Variety2	C7	7
04/04/2018	Strain1	Variety2	C7	7
04/04/2018	Strain1	Variety2	C7	7
04/04/2018	Strain1	Variety2	C7	12
04/04/2018	Strain1	Variety2	C7	9
04/04/2018	Strain1	Variety2	C7	12
02/05/2018	Strain1	Variety1	C8	9
02/05/2018	Strain1	Variety1	C8	12,5
02/05/2018	Strain1	Variety1	C8	10,5
02/05/2018	Strain1	Variety1	C8	19
02/05/2018	Strain1	Variety1	C8	17
02/05/2018	Strain1	Variety1	C8	17
02/05/2018	Strain1	Variety1	C8	10
02/05/2018	Strain1	Variety2	C8	11,5
02/05/2018	Strain1	Variety2	C8	5
02/05/2018	Strain1	Variety2	C8	5
02/05/2018	Strain1	Variety2	C8	5
02/05/2018	Strain1	Variety2	C8	6,5
02/05/2018	Strain1	Variety2	C8	10,5
02/05/2018	Strain1	Variety2	C8	11
02/05/2018	Strain1	Variety2	C8	7
02/05/2018	Strain1	Variety2	C8	7
02/05/2018	Strain1	Variety1	C7	23
02/05/2018	Strain1	Variety1	C7	21
02/05/2018	Strain1	Variety1	C7	17,5
02/05/2018	Strain1	Variety1	C7	27
02/05/2018	Strain1	Variety1	C7	13,5
02/05/2018	Strain1	Variety1	C7	11,5
02/05/2018	Strain1	Variety2	C7	9,5
02/05/2018	Strain1	Variety2	C7	12
02/05/2018	Strain1	Variety2	C7	17
02/05/2018	Strain1	Variety2	C7	10
02/05/2018	Strain1	Variety2	C7	19
02/05/2018	Strain1	Variety2	C7	10
02/05/2018	Strain1	Variety2	C7	10
02/05/2018	Strain1	Variety2	C7	11
02/05/2018	Strain1	Variety2	C7	10
23/05/2018	Strain1	Variety1	C8	8,5
23/05/2018	Strain1	Variety1	C8	7
23/05/2018	Strain1	Variety1	C8	12,5
23/05/2018	Strain1	Variety1	C8	10
23/05/2018	Strain1	Variety1	C8	9,5
23/05/2018	Strain1	Variety1	C8	10
23/05/2018	Strain1	Variety2	C8	8,5
23/05/2018	Strain1	Variety2	C8	7,5
23/05/2018	Strain1	Variety2	C8	11
23/05/2018	Strain1	Variety2	C8	8,5
23/05/2018	Strain1	Variety2	C8	7
23/05/2018	Strain1	Variety2	C8	6
23/05/2018	Strain1	Variety1	C7	9
23/05/2018	Strain1	Variety1	C7	7
23/05/2018	Strain1	Variety1	C7	9
23/05/2018	Strain1	Variety1	C7	11
